Episode,Action,Distance_Travelled,Total_Distance,Dead_Sensors,Reward
99,3,0.0,0.0,0,1.6463559542158424
98,6,0.0,0.0,0,2.014794408965881
97,5,0.0,0.0,0,2.385361422259688
96,0,0.0,0.0,0,2.7872932856963075
95,7,0.0,0.0,0,3.188169618345709
94,2,0.0,0.0,0,8.603866726716419
93,4,0.0,0.0,0,4.006061669209976
92,1,0.0,0.0,0,9.43688488950874
91,9,0.0,0.0,0,4.854816341921809
90,6,0.0,0.0,0,4.848578044971815
89,1,0.0,0.0,0,4.845182487784091
88,8,0.0,0.0,0,10.3
87,1,0.0,0.0,0,5.3
86,4,0.0,0.0,0,5.3
85,4,0.0,0.0,0,5.3
84,6,0.0,0.0,0,5.3
83,6,0.0,0.0,0,5.3
82,3,0.0,0.0,0,5.3
81,1,0.0,0.0,0,5.3
80,6,0.0,0.0,0,5.19693520021736
79,9,0.0,0.0,0,5.196174478230563
78,6,0.0,0.0,0,5.1871335579621265
77,8,0.0,0.0,0,4.98227611104284
76,2,0.0,0.0,0,4.9675008243778604
75,6,0.0,0.0,0,4.953647100613485
74,6,0.0,0.0,0,4.938207199662037
73,1,0.0,0.0,0,4.929709278124631
72,4,0.0,0.0,0,4.907374784618244
71,6,0.0,0.0,0,4.890972373244316
70,2,0.0,0.0,0,4.871552159916237
69,6,0.0,0.0,0,4.855028755903997
68,3,0.0,0.0,0,4.848045346398883
67,7,0.0,0.0,0,4.983837880027676
66,5,0.0,0.0,0,5.128302577185939
65,6,0.0,0.0,0,5.123861132871689
64,7,0.0,0.0,0,5.115319823404206
63,4,0.0,0.0,0,5.111037017714106
62,4,0.0,0.0,0,5.109267282705182
61,7,0.0,0.0,0,5.104130811341439
60,2,0.0,0.0,0,5.100147272267303
59,8,0.0,0.0,0,5.096589548491141
58,9,0.0,0.0,0,5.087540894905758
57,8,0.0,0.0,0,5.082274236660667
56,7,0.0,0.0,0,5.079528299404656
55,6,0.0,0.0,0,5.078910193355937
54,8,0.0,0.0,0,5.069519270464933
53,1,0.0,0.0,0,5.061409699616514
52,0,0.0,0.0,0,10.3
51,6,0.0,0.0,0,5.3
50,8,0.0,0.0,0,5.197552181362586
49,3,0.0,0.0,0,10.3
48,9,0.0,0.0,0,5.1964332299997045
47,4,0.0,0.0,0,5.194125778219045
46,5,0.0,0.0,0,10.3
45,4,0.0,0.0,0,5.3
44,6,0.0,0.0,0,5.3
43,6,0.0,0.0,0,5.3
42,6,0.0,0.0,0,5.3
41,6,0.0,0.0,0,5.0959328510148945
40,1,0.0,0.0,0,5.085624095926877
39,4,0.0,0.0,0,5.080450063692516
38,6,0.0,0.0,0,5.0641406511757046
37,7,0.0,0.0,0,10.177058452145994
36,3,0.0,0.0,0,5.1673279671659715
35,5,0.0,0.0,0,5.160001231945386
34,0,0.0,0.0,0,5.157420246408926
33,2,0.0,0.0,0,10.3
32,4,0.0,0.0,0,5.3
31,8,0.0,0.0,0,10.3
30,5,0.0,0.0,0,5.3
29,8,0.0,0.0,0,5.3
28,4,0.0,0.0,0,5.3
27,9,0.0,0.0,0,10.3
26,6,0.0,0.0,0,10.3
25,4,0.0,0.0,0,5.3
