Episode,Action,Distance_Travelled,Total_Distance,Dead_Sensors,Reward
99,4,5.385164807134504,5.385164807134504,0,3.1780720636359634
98,5,1.4142135623730951,6.799378369507599,0,3.506116620831782
97,3,8.0,14.799378369507599,0,3.2877435767691257
96,8,8.06225774829855,22.86163611780615,0,3.0396271036374554
95,2,7.0710678118654755,29.932703929671625,0,-2.028492192321769
94,1,9.055385138137417,38.98808906780904,0,-1.284961018916774
93,6,7.0710678118654755,46.05915687967452,0,-0.2738641840677105
92,0,2.0,48.05915687967452,0,1.494614586729589
91,7,4.47213595499958,52.5312928346741,0,5.123159144136705
90,9,2.0,54.5312928346741,0,6.889728459810735
89,5,1.0,55.5312928346741,0,5.330658115094999
88,4,1.4142135623730951,56.94550639704719,0,7.8453595908885125
87,3,9.055385138137417,66.0008915351846,0,7.393313811090759
86,1,8.06225774829855,74.06314928348316,0,5.0159972283571514
85,8,2.0,76.06314928348316,0,7.300598752356854
84,2,7.0710678118654755,83.13421709534863,0,7.047725471984152
83,5,8.06225774829855,91.19647484364718,0,4.602364506955092
82,6,6.082762530298219,97.2792373739454,0,6.483995236725732
81,0,2.0,99.2792373739454,0,6.72744144623946
80,7,4.47213595499958,103.751373328945,0,6.933022323109381
79,9,2.0,105.751373328945,0,7.3003378470503035
78,4,2.23606797749979,107.98744130644478,0,7.553706016405232
77,3,9.055385138137417,117.0428264445822,0,7.051633556376172
76,5,8.0,125.0428264445822,0,4.627123154624242
75,2,8.06225774829855,133.10508419288075,0,4.3460087374481935
74,1,9.055385138137417,142.16046933101816,0,6.019741365615466
73,8,2.0,144.16046933101816,0,6.455334402740969
72,0,3.1622776601683795,147.32274699118653,0,6.708984131647518
71,6,2.0,149.32274699118653,0,7.057567738459118
70,2,2.0,151.32274699118653,0,5.050893196243998
69,7,8.246211251235321,159.56895824242184,0,6.752506593648028
68,9,2.0,161.56895824242184,0,5.143851099958097
67,3,7.0,168.56895824242184,0,4.915497245292881
66,4,9.055385138137417,177.62434338055925,0,6.671146833322901
65,5,1.4142135623730951,179.03855694293236,0,7.04747414979409
64,1,1.0,180.03855694293236,0,7.33648731216283
63,6,7.0710678118654755,187.10962475479784,0,5.110858969190749
62,0,2.0,189.10962475479784,0,5.267978989917358
61,8,3.1622776601683795,192.2719024149662,0,7.41612876971801
60,9,1.4142135623730951,193.6861159773393,0,5.659854073405188
59,7,2.0,195.6861159773393,0,5.815126704481142
58,2,8.246211251235321,203.93232722857462,0,7.369325820443051
57,5,8.06225774829855,211.99458497687317,0,4.925394017169811
56,3,8.0,219.99458497687317,0,6.666832061174332
55,4,9.055385138137417,229.04997011501058,0,6.090659278479507
54,1,2.23606797749979,231.28603809251038,0,6.430890273006555
53,6,7.0710678118654755,238.35710590437586,0,6.14440713243996
52,7,6.324555320336759,244.68166122471263,0,4.094081864336219
51,8,3.1622776601683795,247.843938884881,0,4.442368439941125
50,0,3.1622776601683795,251.00621654504937,0,6.73974591984191
49,5,4.123105625617661,255.12932217066702,0,4.733463063754814
48,9,1.0,256.129322170667,0,7.359735722302903
47,2,8.0,264.129322170667,0,7.020989342107226
46,3,10.63014581273465,274.7594679834017,0,6.568998959782493
45,1,8.06225774829855,282.8217257317002,0,6.438845622458733
44,4,2.23606797749979,285.0577937092,0,6.716737071586535
43,7,4.123105625617661,289.18089933481764,0,6.908941218352742
42,8,3.1622776601683795,292.34317699498604,0,4.96400991429103
41,6,5.0990195135927845,297.44219650857883,0,6.950006249373082
40,5,6.082762530298219,303.52495903887706,0,4.8096388965821495
39,0,4.123105625617661,307.6480646644947,0,6.862919803339578
38,9,4.0,311.6480646644947,0,6.966210063893606
